# Training Data Sources
# Format: <source_type> | <url_or_repo> | <pairs_extracted> | <date_added>

# FSM/Automata Libraries
code_extraction | https://github.com/fgmacedo/python-statemachine | 48 | 2025-01-19
code_extraction | https://github.com/caleb531/automata | 18 | 2025-01-19
code_extraction | https://github.com/sverweij/state-machine-cat | 92 | 2025-11-21
code_extraction | https://github.com/pytransitions/transitions | 12 | 2025-11-21
code_extraction | https://github.com/Quentin18/fsmdot | 7 | 2025-11-21
code_extraction | other_fsm_sources | 13 | 2025-11-20

# Documentation
documentation | https://graphviz.org/gallery/ | 13 | 2025-01-19
documentation | https://graphviz.org/doc/info/attrs.html | 31 | 2025-01-19
documentation | other_graphviz_docs | 16 | 2025-01-19

# Synthetic Generation (Gemma 2 27B via Ollama)
synthetic | minimal_validator | 10 | 2025-01-19

# Total pairs: 273
# Last updated: 2025-11-21
